"codEst";"codParam";"month";"day";"year";"dat"
"28079004";"01";"01";1;2016;8
"28079004";"01";"01";2;2016;9
"28079004";"01";"01";3;2016;9
"28079004";"01";"01";4;2016;6
"28079004";"01";"01";5;2016;7
"28079004";"01";"01";6;2016;6
"28079004";"01";"01";7;2016;6
"28079004";"01";"01";8;2016;5
"28079004";"01";"01";9;2016;5
"28079004";"01";"01";10;2016;5
"28079004";"01";"01";11;2016;6
"28079004";"01";"01";12;2016;13
"28079004";"01";"01";13;2016;13
"28079004";"01";"01";14;2016;15
"28079004";"01";"01";15;2016;14
"28079004";"01";"01";16;2016;13
"28079004";"01";"01";17;2016;12
"28079004";"01";"01";18;2016;15
"28079004";"01";"01";19;2016;14
"28079004";"01";"01";20;2016;13
"28079004";"01";"01";21;2016;11
"28079004";"01";"01";22;2016;11
"28079004";"01";"01";23;2016;11
"28079004";"01";"01";24;2016;15
"28079004";"01";"01";25;2016;14
"28079004";"01";"01";26;2016;14
"28079004";"01";"01";27;2016;10
"28079004";"01";"01";28;2016;8
"28079004";"01";"01";29;2016;7
"28079004";"01";"01";30;2016;8
"28079004";"01";"01";31;2016;10
"28079004";"01";"02";1;2016;11
"28079004";"01";"02";2;2016;16
"28079004";"01";"02";3;2016;17
"28079004";"01";"02";4;2016;16
"28079004";"01";"02";5;2016;16
"28079004";"01";"02";6;2016;16
"28079004";"01";"02";7;2016;18
"28079004";"01";"02";8;2016;16
"28079004";"01";"02";9;2016;15
"28079004";"01";"02";10;2016;15
"28079004";"01";"02";11;2016;14
"28079004";"01";"02";12;2016;11
"28079004";"01";"02";13;2016;8
"28079004";"01";"02";14;2016;8
"28079004";"01";"02";15;2016;7
"28079004";"01";"02";16;2016;7
"28079004";"01";"02";17;2016;8
"28079004";"01";"02";18;2016;9
"28079004";"01";"02";19;2016;7
"28079004";"01";"02";20;2016;7
"28079004";"01";"02";21;2016;8
"28079004";"01";"02";22;2016;9
"28079004";"01";"02";23;2016;12
"28079004";"01";"02";24;2016;11
"28079004";"01";"02";25;2016;12
"28079004";"01";"02";26;2016;12
"28079004";"01";"02";27;2016;8
"28079004";"01";"02";28;2016;8
"28079004";"01";"03";1;2016;8
"28079004";"01";"03";2;2016;9
"28079004";"01";"03";3;2016;9
"28079004";"01";"03";4;2016;7
"28079004";"01";"03";5;2016;8
"28079004";"01";"03";6;2016;10
"28079004";"01";"03";7;2016;10
"28079004";"01";"03";8;2016;9
"28079004";"01";"03";9;2016;8
"28079004";"01";"03";10;2016;9
"28079004";"01";"03";11;2016;9
"28079004";"01";"03";12;2016;8
"28079004";"01";"03";13;2016;7
"28079004";"01";"03";14;2016;8
"28079004";"01";"03";15;2016;7
"28079004";"01";"03";16;2016;8
"28079004";"01";"03";17;2016;9
"28079004";"01";"03";18;2016;10
"28079004";"01";"03";19;2016;10
"28079004";"01";"03";20;2016;12
"28079004";"01";"03";21;2016;9
"28079004";"01";"03";22;2016;8
"28079004";"01";"03";23;2016;8
"28079004";"01";"03";24;2016;9
"28079004";"01";"03";25;2016;9
"28079004";"01";"03";26;2016;8
"28079004";"01";"03";27;2016;7
"28079004";"01";"03";28;2016;7
"28079004";"01";"03";29;2016;8
"28079004";"01";"03";30;2016;9
"28079004";"01";"03";31;2016;9
"28079004";"01";"04";1;2016;9
"28079004";"01";"04";2;2016;9
"28079004";"01";"04";3;2016;8
"28079004";"01";"04";4;2016;7
"28079004";"01";"04";5;2016;8
"28079004";"01";"04";6;2016;7
"28079004";"01";"04";7;2016;9
"28079004";"01";"04";8;2016;9
"28079004";"01";"04";9;2016;8
"28079004";"01";"04";10;2016;7
"28079004";"01";"04";11;2016;6
"28079004";"01";"04";12;2016;6
"28079004";"01";"04";13;2016;7
"28079004";"01";"04";14;2016;8
"28079004";"01";"04";15;2016;6
"28079004";"01";"04";16;2016;6
"28079004";"01";"04";17;2016;6
"28079004";"01";"04";18;2016;6
