Province,Year,Population
02 Albacete,2021,386464
02 Albacete,2020,388270
02 Albacete,2019,388167
02 Albacete,2018,388786
02 Albacete,2017,390032
02 Albacete,2016,392118
02 Albacete,2015,394580
02 Albacete,2014,396987
02 Albacete,2013,400007
02 Albacete,2012,402837
02 Albacete,2011,402318
02 Albacete,2010,401682
02 Albacete,2009,400891
02 Albacete,2008,397493
02 Albacete,2007,392110
02 Albacete,2006,387658
02 Albacete,2005,384640
02 Albacete,2004,379448
02 Albacete,2003,376556
02 Albacete,2002,371787
02 Albacete,2001,367283
02 Albacete,2000,363263
03 Alicante/Alacant,2021,1881762
03 Alicante/Alacant,2020,1879888
03 Alicante/Alacant,2019,1858683
03 Alicante/Alacant,2018,1838819
03 Alicante/Alacant,2017,1825332
03 Alicante/Alacant,2016,1836459
03 Alicante/Alacant,2015,1855047
03 Alicante/Alacant,2014,1868438
03 Alicante/Alacant,2013,1945642
03 Alicante/Alacant,2012,1943910
03 Alicante/Alacant,2011,1934127
03 Alicante/Alacant,2010,1926285
03 Alicante/Alacant,2009,1917012
03 Alicante/Alacant,2008,1891477
03 Alicante/Alacant,2007,1825264
03 Alicante/Alacant,2006,1783555
03 Alicante/Alacant,2005,1732389
03 Alicante/Alacant,2004,1657040
03 Alicante/Alacant,2003,1632349
03 Alicante/Alacant,2002,1557968
03 Alicante/Alacant,2001,1490265
03 Alicante/Alacant,2000,1445144
04 Almería,2021,731792
04 Almería,2020,727945
04 Almería,2019,716820
04 Almería,2018,709340
04 Almería,2017,706672
04 Almería,2016,704297
04 Almería,2015,701211
04 Almería,2014,701688
04 Almería,2013,699329
04 Almería,2012,704219
04 Almería,2011,702819
04 Almería,2010,695560
04 Almería,2009,684426
04 Almería,2008,667635
04 Almería,2007,646633
04 Almería,2006,635850
04 Almería,2005,612315
04 Almería,2004,580077
04 Almería,2003,565310
04 Almería,2002,546498
04 Almería,2001,533168
04 Almería,2000,518229
01 Araba/Álava,2021,333626
01 Araba/Álava,2020,333940
01 Araba/Álava,2019,331549
01 Araba/Álava,2018,328868
01 Araba/Álava,2017,326574
01 Araba/Álava,2016,324126
01 Araba/Álava,2015,323648
01 Araba/Álava,2014,321932
01 Araba/Álava,2013,321417
01 Araba/Álava,2012,322557
01 Araba/Álava,2011,319227
01 Araba/Álava,2010,317352
01 Araba/Álava,2009,313819
01 Araba/Álava,2008,309635
01 Araba/Álava,2007,305459
01 Araba/Álava,2006,301926
01 Araba/Álava,2005,299957
01 Araba/Álava,2004,295905
01 Araba/Álava,2003,294360
01 Araba/Álava,2002,291860
01 Araba/Álava,2001,288793
01 Araba/Álava,2000,286497
33 Asturias,2021,1011792
33 Asturias,2020,1018784
33 Asturias,2019,1022800
33 Asturias,2018,1028244
33 Asturias,2017,1034960
33 Asturias,2016,1042608
33 Asturias,2015,1051229
33 Asturias,2014,1061756
33 Asturias,2013,1068165
33 Asturias,2012,1077360
33 Asturias,2011,1081487
33 Asturias,2010,1084341
33 Asturias,2009,1085289
33 Asturias,2008,1080138
33 Asturias,2007,1074862
33 Asturias,2006,1076896
33 Asturias,2005,1076635
33 Asturias,2004,1073761
33 Asturias,2003,1075381
33 Asturias,2002,1073971
33 Asturias,2001,1075329
33 Asturias,2000,1076567
05 Ávila,2021,158421
05 Ávila,2020,157664
05 Ávila,2019,157640
05 Ávila,2018,158498
05 Ávila,2017,160700
05 Ávila,2016,162514
05 Ávila,2015,164925
05 Ávila,2014,167015
05 Ávila,2013,168825
05 Ávila,2012,171265
05 Ávila,2011,172704
05 Ávila,2010,171896
05 Ávila,2009,171680
05 Ávila,2008,171815
05 Ávila,2007,168638
05 Ávila,2006,167818
05 Ávila,2005,167032
05 Ávila,2004,166108
05 Ávila,2003,165480
05 Ávila,2002,165138
05 Ávila,2001,163885
05 Ávila,2000,164991
06 Badajoz,2021,669943
06 Badajoz,2020,672137
06 Badajoz,2019,673559
06 Badajoz,2018,676376
06 Badajoz,2017,679884
06 Badajoz,2016,684113
06 Badajoz,2015,686730
06 Badajoz,2014,690929
06 Badajoz,2013,693729
06 Badajoz,2012,694533
06 Badajoz,2011,693921
06 Badajoz,2010,692137
06 Badajoz,2009,688777
06 Badajoz,2008,685246
06 Badajoz,2007,678459
06 Badajoz,2006,673474
06 Badajoz,2005,671299
06 Badajoz,2004,663896
06 Badajoz,2003,663142
06 Badajoz,2002,662808
06 Badajoz,2001,664251
06 Badajoz,2000,661874
07 Balears,2021,1173008
07 Balears,2020,1171543
07 Balears,2019,1149460
07 Balears,2018,1128908
07 Balears,2017,1115999
07 Balears,2016,1107220
07 Balears,2015,1104479
07 Balears,2014,1103442
07 Balears,2013,1111674
07 Balears,2012,1119439
07 Balears,2011,1113114
07 Balears,2010,1106049
07 Balears,2009,1095426
07 Balears,2008,1072844
07 Balears,2007,1030650
07 Balears,2006,1001062
07 Balears,2005,983131
07 Balears,2004,955045
07 Balears,2003,947361
07 Balears,2002,916968
07 Balears,2001,878627
07 Balears,2000,845630
08 Barcelona,2021,5714730
08 Barcelona,2020,5743402
08 Barcelona,2019,5664579
08 Barcelona,2018,5609350
08 Barcelona,2017,5576037
08 Barcelona,2016,5542680
08 Barcelona,2015,5523922
08 Barcelona,2014,5523784
08 Barcelona,2013,5540925
08 Barcelona,2012,5552050
08 Barcelona,2011,5529099
08 Barcelona,2010,5511147
08 Barcelona,2009,5487935
08 Barcelona,2008,5416447
08 Barcelona,2007,5332513
08 Barcelona,2006,5309404
08 Barcelona,2005,5226354
08 Barcelona,2004,5117885
08 Barcelona,2003,5052666
08 Barcelona,2002,4906117
08 Barcelona,2001,4804606
08 Barcelona,2000,4736277
48 Bizkaia,2021,1154334
48 Bizkaia,2020,1159443
48 Bizkaia,2019,1152651
48 Bizkaia,2018,1149628
48 Bizkaia,2017,1148302
48 Bizkaia,2016,1147576
48 Bizkaia,2015,1148775
48 Bizkaia,2014,1151905
48 Bizkaia,2013,1156447
48 Bizkaia,2012,1158439
48 Bizkaia,2011,1155772
48 Bizkaia,2010,1153724
48 Bizkaia,2009,1152658
48 Bizkaia,2008,1146421
48 Bizkaia,2007,1141457
48 Bizkaia,2006,1139863
48 Bizkaia,2005,1136181
48 Bizkaia,2004,1132861
48 Bizkaia,2003,1133428
48 Bizkaia,2002,1133444
48 Bizkaia,2001,1132616
48 Bizkaia,2000,1132729
09 Burgos,2021,356055
09 Burgos,2020,357650
09 Burgos,2019,356958
09 Burgos,2018,357070
09 Burgos,2017,358171
09 Burgos,2016,360995
09 Burgos,2015,364002
09 Burgos,2014,366900
09 Burgos,2013,371248
09 Burgos,2012,374970
09 Burgos,2011,375657
09 Burgos,2010,374826
09 Burgos,2009,375563
09 Burgos,2008,373672
09 Burgos,2007,365972
09 Burgos,2006,363874
09 Burgos,2005,361021
09 Burgos,2004,356437
09 Burgos,2003,355205
09 Burgos,2002,352723
09 Burgos,2001,349810
09 Burgos,2000,347240
10 Cáceres,2021,389558
10 Cáceres,2020,391850
10 Cáceres,2019,394151
10 Cáceres,2018,396487
10 Cáceres,2017,400036
10 Cáceres,2016,403665
10 Cáceres,2015,406267
10 Cáceres,2014,408703
10 Cáceres,2013,410275
10 Cáceres,2012,413597
10 Cáceres,2011,415446
10 Cáceres,2010,415083
10 Cáceres,2009,413633
10 Cáceres,2008,412498
10 Cáceres,2007,411531
10 Cáceres,2006,412899
10 Cáceres,2005,412580
10 Cáceres,2004,411390
10 Cáceres,2003,410762
10 Cáceres,2002,410242
10 Cáceres,2001,409130
10 Cáceres,2000,407546
11 Cádiz,2021,1245960
11 Cádiz,2020,1244049
