"PROVMUN","whichMax","Max","pcMax"
"04001","PSOE",356,33.5216572504708
"04002","PSOE",342,32.9162656400385
"04003","ABS",6282,36.1928904764648
"04004","PSOE",136,32
"04005","PP",181,32.5539568345324
"04006","ABS",2273,32.3696952435204
"04007","PSOE",222,30.2452316076294
"04008","PP",261,51.6831683168317
"04009","PP",62,38.2716049382716
"04010","PSOE",232,40.2777777777778
"04011","PSOE",864,31.24773960217
"04012","PP",70,36.6492146596859
"04013","ABS",47092,33.3088131277408
"04014","PSOE",81,56.25
"04015","PSOE",36,29.0322580645161
"04016","PP",684,31.9925163704397
"04017","ABS",442,34.1049382716049
"04018","PSOE",112,41.4814814814815
"04019","PSOE",103,41.3654618473896
"04020","PP",97,33.6805555555556
"04021","PP",65,35.1351351351351
"04022","PSOE",114,32.8530259365994
"04023","PP",49,35.5072463768116
"04024","PP",866,28.1717631750163
"04026","PP",36,54.5454545454545
"04027","ABS",91,36.4
"04028","PSOE",114,51.5837104072398
"04029","ABS",3069,34.6427362004741
"04030","PSOE",354,31.6353887399464
"04031","PSOE",880,37.6390076988879
"04032","ABS",1963,35.141424991049
"04033","PSOE",52,38.5185185185185
"04034","ABS",61,38.125
"04035","ABS",2598,31.0616929698709
"04036","PP",86,38.0530973451327
"04037","PSOE",383,29.1476407914764
"04038","ABS",958,31.0635538261997
"04041","PP",96,29.8136645962733
"04043","PP",224,40.7272727272727
"04044","PP",490,31.6742081447964
"04045","PSOE",764,43.4832100170746
"04046","ABS",259,30.1864801864802
"04047","PP",807,35.3792196405085
"04048","PSOE",447,29.7405189620758
"04049","ABS",1734,32.6369282891022
"04050","ABS",248,30.9612983770287
"04051","PP",148,33.9449541284404
"04052","ABS",3969,32.3340122199593
"04053","PP",4123,33.4659090909091
"04054","PP",139,38.8268156424581
"04055","PSOE",164,44.2048517520216
"04056","PP",70,48.951048951049
"04057","ABS",441,33.2830188679245
"04058","ABS",95,26.8361581920904
"04059","PSOE",411,38.0908248378128
"04060","PP",167,37.5280898876404
"04061","PSOE",252,39.4984326018809
"04062","PP",1420,31.5205327413984
"04063","ABS",328,29.9270072992701
"04064","PP",946,34.1392998917358
"04065","PSOE",140,38.5674931129477
"04066","ABS",4848,35.7206012378426
"04067","PSOE",231,40.5263157894737
"04068","PP",67,35.8288770053476
"04069","PP",1341,28.6049488054608
"04070","PP",529,33.3964646464646
"04071","PSOE",174,44.1624365482233
"04072","PP",130,41.5335463258786
"04073","PP",101,30.6060606060606
"04074","ABS",861,30.3169014084507
"04075","PP",1586,30.5234795996921
"04076","PSOE",412,32.2126661454261
"04077","PP",169,57.2881355932203
"04078","ABS",332,30.7977736549165
"04079","ABS",17797,34.6359690948368
"04080","PP",75,35.8851674641148
"04081","PSOE",178,50.1408450704225
"04082","PP",109,36.7003367003367
"04083","PSOE",610,34.3275182892515
"04084","PP",115,33.7243401759531
"04085","PP",160,41.343669250646
"04086","PP",640,36.3636363636364
"04087","PP",64,35.1648351648352
"04088","ABS",804,32.7628361858191
"04089","PP",248,33.4231805929919
"04090","PSOE",106,34.8684210526316
"04091","PSOE",160,47.9041916167665
"04092","PP",868,30.584918957012
"04093","ABS",678,36.0255047821466
"04094","PP",100,48.3091787439614
"04095","ABS",246,34.453781512605
"04096","PSOE",98,36.8421052631579
"04097","PP",71,28.6290322580645
"04098","PSOE",492,32.4538258575198
"04099","PP",1670,33.4736420124273
"04100","ABS",3415,38.9484489051095
"04101","ABS",1390,32.5832161275199
"04102","ABS",4829,35.2636191032569
"04103","PP",469,31.7750677506775
"04901","PSOE",167,30.6422018348624
"04902","ABS",16738,36.8378193982877
"04903","PP",1678,38.8425925925926
"04904","PP",751,42.2622397298818
"11001","ABS",1591,36.5075722808628
"11002","ABS",1458,34.121226304704
"11003","ABS",439,34.8136399682791
"11004","ABS",37768,42.5396753883063
"11005","ABS",1616,35.2607462360899
"11006","ABS",8868,36.2625230014312
"11007","ABS",8108,45.1347138721888
"11008","ABS",6659,38.1145898918207
"11009","ABS",195,32.2314049586777
"11010","ABS",2280,35.5694227769111
"11011","ABS",551,32.1095571095571
"11012","ABS",30213,30.2474821296278
"11013","ABS",794,34.3425605536332
"11014","ABS",6613,39.2276663898446
"11015","ABS",24601,39.3767206607337
"11016","ABS",5627,37.6917409069596
"11017","PSOE",1015,31.6002490660025
"11018","ABS",437,29.7683923705722
"11019","ABS",578,31.6538882803943
"11020","ABS",56548,34.1931816807556
"11021","ABS",2402,35.511531638084
"11022","ABS",22419,46.0585516178736
"11023","ABS",2999,32.081728712024
"11024","ABS",2089,31.0724378997471
"11025","PSOE",1552,35.2887676216462
"11026","ABS",1404,29.3601003764115
"11027","ABS",23080,33.9846568403693
"11028","ABS",10816,33.2922925387835
"11029","ABS",2430,44.7513812154696
"11030","ABS",7816,34.3198384122245
"11031","ABS",27050,35.3802890589235
"11032","ABS",22867,42.4445475638051
"11033","ABS",8132,38.9035066736832
"11034","ABS",817,35.0042844901457
"11035","ABS",5316,39.1112419070041
"11036","ABS",289,41.944847605225
"11037","UP",2589,45.733969263381
"11038","PP",3949,28.7471791511975
"11039","ABS",3909,39.0197644240367
"11040","PSOE",170,42.8211586901763
"11041","ABS",3464,35.1104804378674
"11042","PSOE",403,33.9797639123103
"11901","ABS",2017,35.7117563739377
"11902","ABS",1377,37.9443372829981
"14001","PSOE",1146,32.6124075128059
