Country Name,Country Code,Indicator Name,Indicator Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,13116,14651,14796,16293,17579,,,,,,,,,,,,,,,17089,15106,,,16160,20055,,,,,,,,,,,,110313,110312,113763,115454,118858,
Afghanistan,AFG,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,5021,5953,7053,8061,7866,,,,,,,,,,,,,,,,7356,,,12448,17548,,,,,,,,,,,,,32817,,,,
Afghanistan,AFG,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.134512699,7.628519691,8.2948331,9.035596642,7.472657687,8.447279499,8.692726513,8.756901978,6.769913961,7.30135515,6.979427213,7.579305624,7.584483384,
Afghanistan,AFG,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.464654804,
Afghanistan,AFG,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07024895,0.033768923,0.060108384,,,
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31615944,19.38067133,19.62472983,,,
Afghanistan,AFG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112797864,0.04641152,0.071176954,0.080923912,0.060842065,
